Name,Country,National Antarctic Program,Status,Period of Operation in Antarctic Treaty Area,Type of Vessel,Polar Class (IACS),Length (m),Beam (m),Gross Tonnage (t),Maximum Crew,Maximum Passenger,Photo URL,Photo Credit
Aquiles,Chile,Chilean Antarctic Institute,In Service,March;November,Cargo ; Multi Purpose ; Patrol ; Research ; Supply,,103,17,4760,108,168,https://comnap.quickbase.com/up/bmicj3ee9/a/r7/e15/v0/Aquiles.jpg,"Chilean Navy, https://www.armada.cl/armada/unidades-navales/superficie/transporte-de-personal-y-carga/ap-41-aquiles/2014-04-16/101442.html"
Galvarino,Chile,Chilean Antarctic Institute,,,,,,,,,,,
Karpuj,Chile,Chilean Antarctic Institute,In Service,January;February;March;December,,,,,,,,,
Lautaro,Chile,Chilean Antarctic Institute,In Service,January;February;March;April;November;December,Cargo ; Multi Purpose ; Patrol ; Research ; Supply ; Survey,,58.3,12.63,2250,35,12,https://comnap.quickbase.com/up/bmicj3ee9/a/r24/e15/v0/Lautaro.jpg,"Chilean Navy, https://www.armada.cl/armada/unidades-navales/superficie/remolcadores-de-flota/atf-67-lautaro/2014-04-16/122553.html"
Marinero Fuentealba,Chile,Chilean Antarctic Institute,In Service,January;February;March,Cargo ; Multi Purpose ; Research ; Supply ; Offshore Patrol Vessel,,80.6,13,1771.6,,,https://comnap.quickbase.com/up/bmicj3ee9/a/r26/e15/v0/Marinero%20Fuentealba.jpg,"Chilean Navy, https://www.armada.cl/armada/unidades-navales/superficie/patrulleros-de-zona-maritima/opv-83-marinero-fuentealba/2014-10-29/112345.html"
Oscar Viel,Chile,Chilean Antarctic Institute,,,,,89.91,19.5,7553,112,18,https://comnap.quickbase.com/up/bmicj3ee9/a/r31/e15/v0/viel.jpg,INACH
Sargento Aldea,Chile,Chilean Antarctic Institute,In Service,November;December,Supply ; Tanker; Hospital,,168,23.5,"12,000",248,300,https://comnap.quickbase.com/up/bmicj3ee9/a/r62/e15/v0/LSDH%2091%20Sargento%20Aldea.jpg,
Xiangyanghong 01,China,Chinese Arctic and Antarctica Administration,In Service,,Research,,,,,,,,
Xuelong,China,Chinese Arctic and Antarctica Administration,In Service,January;February;March;April;November;December,Multi Purpose,,167,22.6,"15,352",40,80,https://comnap.quickbase.com/up/bmicj3ee9/a/r43/e15/v0/Xuelong.jpg,PRIC
Xuelong 2,China,Chinese Arctic and Antarctica Administration,In Service,January;February;March;November;December,Multi Purpose,Polar Class 3,,,,41,49,,
L'Astrolabe,France,French Polar Institute,In Service,January;February;March;November;December,Polar Logistic Vessel,,72,16,1200,22,42,https://comnap.quickbase.com/up/bmicj3ee9/a/r22/e15/v0/Astrolabe.jpg,IPEV
Marion Dufresne,France,French Polar Institute,In Service,,,,120.5,20.6,"10,380",,,https://comnap.quickbase.com/up/bmicj3ee9/a/r27/e15/v0/Marion%20Dufresne.jpg,IPEV
Polarstern,Germany,Alfred Wegener Institute,In Service,January;February;March;April;May;October;November;December,Icebreaker ; Research,,118,25,"11,820",44,55,https://comnap.quickbase.com/up/bmicj3ee9/a/r34/e15/v0/Polarstern.jpg,AWI
Polarstern II (Under Construction),Germany,Alfred Wegener Institute,Under Construction,,,,,,,,,,
Ivan Papanin,India,National Centre for Polar and Ocean Research,Decommissioned,,Cargo,,,,,,,https://comnap.quickbase.com/up/bmicj3ee9/a/r19/e15/v0/Indian%20Barrier%20Ship_National%20Centre%20for%20Antarctic%20and%20Ocean%20Research.jpg,NCAOR
Vasiliy Golovnin,India,National Centre for Polar and Ocean Research,In Service,January;February;March;April;December,Cargo,,,,"13,514",,,,
Happy Delta,Italy,Italian National Antarctic Program,,,Cargo ; Multi Purpose,,156.93,,,,,,
Italica,Italy,Italian National Antarctic Program,Decommissioned,,,,130,,,27,90,https://comnap.quickbase.com/up/bmicj3ee9/a/r18/e15/v0/Italica.jpg,"ENEA (National Agency for New Technologies, Energy and a Sustainable Economic Development)"
Laura Bassi,Italy,Italian National Antarctic Program,In Service,January;February;December,Research,Polar Class 5,80,,4028,22,50,,
OGS Explora,Italy,Italian National Antarctic Program,Decommissioned,,Research,,72.62,,1400,18,26,,
Shirase,Japan,National Institute of Polar Research,In Service,January;February;November;December,Research ; Supply,Polar Class 5,138,28,"12,650",179,80,https://comnap.quickbase.com/up/bmicj3ee9/a/r38/e15/v0/Shirase.jpg,NIPR
Umitaka-Maru,Japan,National Institute of Polar Research,In Service,,Research,,,,,,,,
Tangaroa,New Zealand,Antarctica New Zealand,In Service,January;February,Research ; DNV - 1A1 (stern trawler/research vessel) + DYNPOS AUTR,,70,13.8,2291,,,https://comnap.quickbase.com/up/bmicj3ee9/a/r40/e15/v0/Tangaroa.jpg,Peter Marriott ©Antarctica New Zealand Pictorial Collection
